objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
ac_042,Wood Organ Pipes,,,,Acoustics,,Display Case H3,,,,ac_042,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_042.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_042_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_042_th.jpg,,,
ac_047,Zither,,,,Acoustics,,Display Case H3,,,,ac_047,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_047.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_047_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_047_th.jpg,,,
ac_051,Manometric Flame,,,,Acoustics,,Storage Location H1b,,,,ac_051,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_051.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_051_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_051_th.jpg,,,
ac_056,Clamped Square and Round Brass Vibrating Plates,,1895,"This apparatus came with the holder and two brass plates, one round and the other square. The plates could be made to vibrate, perhaps by stroking with a violin bow or tapping with a mallet, and the resulting sound examined. They could also be mounted with the plate horizontal. Then if a light powder, such as lycopodium powder, was placed on the plate, the nodes of standing waves in the plate when it was bowed or tapped could be seen in patterns of the powder.",Acoustics,,Display Case H3,,,,ac_056,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_056.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_056_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_056_th.jpg,,,
at_002,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_002,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_002.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_002_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_002_th.jpg,,,
at_003,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_003,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_003.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_003_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_003_th.jpg,,,
at_004,Electric Egg,James W. Queen & Co.,,"The electric egg is a glass vessel with an electrode at the top and another electrode at the bottom. At the bottom also is a tube with stopcock through which the air in the vessel can be pumped. It is used to demonstrate the production of light by a static electric charge. If the egg is evacuated and then a large static charge is place on the upper electrode, perhaps by connecting it to a static machine, a glow fills the egg. This was once suggested as a way to produce safe illumination in mines, but it was found that the glow does not persist long enough to be useful.

This instrument was sold by Queen & Co. but probably was manufactured in Europe. The date is unknown.",Modern_Physics,,Display Case B1,,,,at_004,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_004.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_004_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_004_th.jpg,,,
at_005,Six Fancy Discharge Tubes,,,,Modern_Physics,,Display Case B1,,,,at_005,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_005.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_005_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_005_th.jpg,,,
at_006,Discharge Tube and Wooden Base,,,Similar to a Crooke's discharge tube.,Modern_Physics,Discharge Tube,Display Case B1,,,,at_006,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_006.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_006_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_006_th.jpg,,,
at_008,Discharge Tube with Collimator,,,,Modern_Physics,,Display Case B1,,,,at_008,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_008.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_008_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_008_th.jpg,,,
at_009,Rotator For Discharge Tube AT001,,,,Modern_Physics,,Display Case B1,,,,at_009,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_009.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_009_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_009_th.jpg,,,
at_010,Rotator for Discharge Tube AT001,,,,Modern_Physics,,Display Case B3,,,,at_010,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_010.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_010_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_010_th.jpg,,,
at_011,Glass sphere on Wood Base,,,This may be a discharge tube.,Modern_Physics,,Storage Location H1b,,,,at_011,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_011.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_011_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_011_th.jpg,,,
at_019,Electrolysis Apparatus,,,,Modern_Physics,,,,,,at_019,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_019.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_019_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_019_th.jpg,,,
em_001,Potentiometer,Leeds and Northrup Co.,,Serial No. 26686,Electricity_and_Magnetism,Potentiometers,,,,,em_001,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_001.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_001_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_001_th.jpg,,,
em_002,Post Office Bridge with Meter,,,"This is a Wheatstone bridge designed to locate a short circuit in a telephone or telegraph line by measuring the resistance of the wire to the short. It is called a ""post office bridge"" because this design was adopted by the British Post Office, which operated telegraph and telephone services as well as delivered mail. This bridge, which is in a box, has a built-in galvanometer. The upper plugs determine a ratio and the lower rows are a standard resistance.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_002,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_002.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_002_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_002_th.jpg,,,
em_003,Line Test Set,Leeds and Northrup Co.,,Test Set No. 5300,Electricity_and_Magnetism,,Display Case H1,,,,em_003,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_003.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_003_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_003_th.jpg,,,
em_004,Capacity Bridge,Western Electric Co.,,,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_004,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_004.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_004_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_004_th.jpg,,,
em_005,Double Bridge,Leeds and Northrup Co.,,Serial No.. 169623,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_005,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_005.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_005_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_005_th.jpg,,,
em_006,Kohlrausch Wire,James G. Biddle Co.,,A Kohlrausch wire is a uniform wire wound on a form with a slider which moves along the wire. It can be used as part of a Wheatstone bridge or a potentiometer. This wire was made in Germany and imported by James G. Biddle. Its resistance is 195 ohms. The form is marble.,Electricity_and_Magnetism,,Display Case H1,,,,em_006,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_006.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_006_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_006_th.jpg,,,
em_007,Post Office Bridge,Leeds and Northrup Co.,,"This is a Wheatstone bridge designed to locate a short circuit in a telephone or telegraph line by measuring the resistance to the short. It gets the name ""post office bridge"" from its adoption by the British Post Office, which operated telegraph and telephone systems in addition to delivering mail. The upper row of plugs determine a ratio and the lower rows are a standard resistance.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_007,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_007.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_007_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_007_th.jpg,,,
em_008,Decade Bridge,,,"This decade bridge is a form of Wheatstone bridge, a device to measure electrical resistance. This bridge provides two of the four arms of the complete Wheatstone circuit, and the unknown and a standard resistor had to be added. A battery and galvanometer were also attached externally.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_008,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_008.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_008_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_008_th.jpg,,,
em_010,Slide Wire Bridge,Wilkens Anderson Co.,,,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_010,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_010.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_010_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_010_th.jpg,,,
em_015,Reflection Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_015,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_015.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_015_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_015_th.jpg,,,
em_016,Reflection Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_016,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_016.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_016_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_016_th.jpg,,,
em_017,Homemade Tangent Galvanometer,Frank F. Almy,,"At the time Frank Almy began teaching physics at Grinnell College in 1893, the tangent galvanometer was an important part of the equipment of any physics laboratory. This is a tangent galvanometer that Professor Almy made. The date is not known, but it probably was before 1900. The compass in the center is a modern instrument; we do not know what compass Professor Almy used.",Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_017,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_017.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_017_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_017_th.jpg,,,
em_018,Galvanometer Telescope Scale,,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_018,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_018.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_018_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_018_th.jpg,,,
em_019,Wall Mounted Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_019,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_019.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_019_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_019_th.jpg,,,
em_021,Simple Astatic Galvanometer,,,"Astatic means that the instrument is constructed in a way that minimizes the effect of the earth's magnetic field. Electrical current being measured passes through coils and produces a magnetic field which causes the magnetized needle suspended above the card to rotate. Not visible is a second needle, rigidly attached to the one above, which hangs below the card in a region where the magnetic field is the opposite of the field above. That needle has the opposite polarity from the one above, so that the earth's field acting on both needles has negligible effect.",Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_021,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_021.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_021_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_021_th.jpg,,,
em_022,Differential Thermopile,,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_022,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_022.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_022_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_022_th.jpg,,,
em_023,Galvanometer with Wooden Case,Weston Electric Instrument Co.,,Model 375,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_023,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_023.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_023_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_023_th.jpg,,,
em_024,Galvanometer with Wooden Case,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_024,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_024.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_024_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_024_th.jpg,,,
em_025,Tangent Galvanometer,James W. Queen & Co.,,"The base of this tangent galvanometer is marked ""Queen & Co., Makers, Phila."" The date of purchase is not known.",Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_025,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_025.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_025_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_025_th.jpg,,,
em_026,Homemade Galvanometer,,,,Electricity_and_Magnetism,Galvanometers,Located in display case G1a,,,,em_026,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_026.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_026_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_026_th.jpg,,,
em_027,Homemade Galvanometer,Frank F. Almy,,"When Frank Almy came to Grinnell College in 1893 to teach physics, laboratory equipment was not as readily available as it was later. Probably the cost of equipment also placed a severe constraint on purchases. Almy made a number of galvanometers, some of which survive. One of those galvanometers is shown here. It had a mirror attached to small magnets suspended between coils.",Electricity_and_Magnetism,Galvanometers,Located in display case G1a,,,,em_027,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_027.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_027_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_027_th.jpg,,,
em_028,Astatic Galvanometer with Glass Dome,,,A galvanometer is a device for  detecting  electric current. The galvanometer pointer deflection is from electric current passing through a coil immersed in a magnetic field from permanent magnets.,Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_028,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_028.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_028_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_028_th.jpg,,,
em_029,Helixon Stand,,1900,"In a listing of physics equipment from around 1900, this device is called a ""Helixon Stand."" The term ""helix"" was used to describe a coil of wire through which an electrical current could be passed in order to magnetize a piece of steel passing through the coil. This appears to be such a helix, and perhaps Helixon was a trade name.",Electricity_and_Magnetism,,Display Case G1a,,,,em_029,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_029.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_029_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_029_th.jpg,,,
em_030,Type S Test Set,Leeds and Northrup Co.,,Test Set 5300,Electricity_and_Magnetism,,Display Case G1a,,,,em_030,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_030.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_030_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_030_th.jpg,,,
em_031,Galvanometer,GM Laboratories Inc.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_031,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_031.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_031_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_031_th.jpg,,,
em_032,Telescope with Scale,The Willyoung and Gibson Co.,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_032,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_032.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_032_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_032_th.jpg,,,
em_034,Demonstration Electric Motor,James W. Queen & Co.,,"This demonstration electric motor was purchased from Queen & Company, but the date is not known. Probably it was before 1900.",Electricity_and_Magnetism,,Display Case G1a,,,,em_034,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_034.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_034_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_034_th.jpg,,,
em_035,Hollow Coil with Orange Covering,,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_035,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_035.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_035_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_035_th.jpg,,,
em_036,Induction Coil and Interrupter,,1846,"This piece of equipment dates from at least 1846. It was brought when the college moved from Davenport to Grinnell in that year.

This is an induction coil with a core made of iron wires--perhaps knitting needles. The primary circuit included the base which looks like part of rasp and an iron bar on the end of a wire. When the iron bar was dragged over the toothed base, the primary circuit was broken and remade many times quite rapidly. The rapid start and stop of the primary circuit induced a current in the secondary winding.",Electricity_and_Magnetism,,Display Case G1a,,,,em_036,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_036.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_036_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_036_th.jpg,,,
em_037,Galvanometer with Three Horseshoe Magnets,,,These two galvanometers each have three horseshoe magnets.  The coil beside each magnet should be suspended vertically between the poles of the magnets.,Electricity_and_Magnetism,Galvanometers,Storage Location Prep Room,,,,em_037,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_037.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_037_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_037_th.jpg,,,
em_039,Kelvin's Astatic Galvanometer,James W. Queen & Co.,1900,"This is a very sensitive galvanometer, patterned after one built by Lord Kelvin. This type galvanometer is capable of detecting a current as small as 10 picoamperes for a deflection of 1 mm at a distance of 1 m.

Within each of the two brass cylinders are two facing coils, and in the center of the cylinder, betrween the coils, is a small piece of mica with five short magnetized needles glued to it. On each mica flake the needles are all turned the same way, but the two sets are oppositely directed in order to minimize the effect of the earth's magnetic field. The two sheets of mica are rigidly attached together and to a mirror between the cylinders, and mica and mirror are all suspended by a fine fiber. (""Astatic"" refers to the fact that the design minimizes the effect of the earth's magnetic field.)

This instrument was purchased from Queen & Company for $30, probably near 1900.",Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_039,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_039.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_039_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_039_th.jpg,,,
em_040,Astatic Galvanometer,,,,Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_040,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_040.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_040_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_040_th.jpg,,,
em_043,Thomson's Mirror Galvanometer,James W. Queen & Co.,,"A sensitive galvanometer designed by William Thomson (later Lord Kelvin) in 1858 to detect the current through the Atlantic cable. A small mirror is suspended by a thread between two coils, and on the back of the mirror are glued several short and light magnets. The curved bar over the galvanometer case is a permanent magnet which can be rotated and raised or lowered to minimize the effect of the earth's magnetic field and to center the supension system. The instrument was purchased from Queen & Co. for $30, but the date is not known.",Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_043,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_043.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_043_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_043_th.jpg,,,
em_044,Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_044,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_044.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_044_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_044_th.jpg,,,
em_046,Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,,,,,em_046,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_046.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_046_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_046_th.jpg,,,
em_047,Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_047,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_047.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_047_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_047_th.jpg,,,
em_048,Ballistic Galvanometer,James W. Queen & Co.,1900,"Like many other galvanometers, a ballistic galvanometer has a coil which rotates between magnets. The ballistic galvanometer has the special feature that its rotating coil has a large moment of inertia. It is used to measure quantity of charge rather than currents, for the large moment of inertia permits the passage of a quantity of charge before the coil moves significantly. The passage of the charge produces an impulse, a momentary torque, which causes the coil then to swing slowly to some maximum position. Such a galvanometer was often used to standardize capacitors.

This galvanometer was purchased from Queen and Company for $75. probably near 1900.",Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_048,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/em_048.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/em_048_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/em_048_th.jpg,,,
