objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
ac_042,Wood Organ Pipes,,,,Acoustics,,Display Case H3,,,,ac_042,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_042.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_042_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_042_th.jpg,,,
ac_047,Zither,,,,Acoustics,,Display Case H3,,,,ac_047,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_047.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_047_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_047_th.jpg,,,
ac_051,Manometric Flame,,,,Acoustics,,Storage Location H1b,,,,ac_051,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_051.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_051_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_051_th.jpg,,,
ac_056,Clamped Square and Round Brass Vibrating Plates,,1895,"This apparatus came with the holder and two brass plates, one round and the other square. The plates could be made to vibrate, perhaps by stroking with a violin bow or tapping with a mallet, and the resulting sound examined. They could also be mounted with the plate horizontal. Then if a light powder, such as lycopodium powder, was placed on the plate, the nodes of standing waves in the plate when it was bowed or tapped could be seen in patterns of the powder.",Acoustics,,Display Case H3,,,,ac_056,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_056.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_056_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_056_th.jpg,,,
at_002,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_002,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_002.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_002_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_002_th.jpg,,,
at_003,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_003,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_003.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_003_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_003_th.jpg,,,
at_004,Electric Egg,James W. Queen & Co.,,"The electric egg is a glass vessel with an electrode at the top and another electrode at the bottom. At the bottom also is a tube with stopcock through which the air in the vessel can be pumped. It is used to demonstrate the production of light by a static electric charge. If the egg is evacuated and then a large static charge is place on the upper electrode, perhaps by connecting it to a static machine, a glow fills the egg. This was once suggested as a way to produce safe illumination in mines, but it was found that the glow does not persist long enough to be useful.

This instrument was sold by Queen & Co. but probably was manufactured in Europe. The date is unknown.",Modern_Physics,,Display Case B1,,,,at_004,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_004.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_004_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_004_th.jpg,,,
at_005,Six Fancy Discharge Tubes,,,,Modern_Physics,,Display Case B1,,,,at_005,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_005.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_005_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_005_th.jpg,,,
at_006,Discharge Tube and Wooden Base,,,Similar to a Crooke's discharge tube.,Modern_Physics,Discharge Tube,Display Case B1,,,,at_006,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_006.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_006_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_006_th.jpg,,,
at_008,Discharge Tube with Collimator,,,,Modern_Physics,,Display Case B1,,,,at_008,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/at_008.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/at_008_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/at_008_th.jpg,,,
